KEY                              ORT FİYAT  ORt KM      TOP ILAN   

civic - 2007
polo - 2010
Trendline                       33925       170552      8/8        
diger                           42500       107000      1/2        
Comfortline                     41106       116492      176/183    
benzin-lpg,benzin               41627       91942       96/103     
dizel                           40079       149401      89/90      
otomatik,yari-otomatik          44651       95929       54/56      
manuel                          39328       128196      131/137    

polo - 2011
BlueMotion                      41366       117566      13/13      
Trendline                       38492       104570      61/69      
diger                           55706       80902       37/37      
Comfortline                     43579       107755      274/294    
benzin-lpg,benzin               44756       78578       176/195    
dizel                           43065       126715      209/218    
otomatik,yari-otomatik          50337       90013       104/106    
manuel                          41387       109551      281/307    

polo - 2012
BlueMotion                      44054       96620       37/39      
Pulse                           44591       52616       6/7        
Trendline                       38584       111736      253/269    
diger                           60321       80407       14/14      
Chrome Edition                  46900       28092       1/1        
Comfortline                     45922       83271       311/323    
benzin-lpg,benzin               43457       68750       245/259    
dizel                           42631       111510      377/394    
otomatik,yari-otomatik          51380       80570       93/94      
manuel                          41624       97412       529/559    

polo - 2013
BlueMotion                      47281       73830       24/24      
Trendline                       40991       101003      263/272    
diger                           65657       62382       19/19      
Chrome Edition                  49200       47257       61/62      
Comfortline                     50899       73614       259/264    
benzin-lpg,benzin               48217       51163       211/220    
dizel                           46149       98747       415/421    
otomatik,yari-otomatik          54919       67820       165/165    
manuel                          43905       88285       461/476    

polo - 2014
BlueMotion                      49222       68440       11/12      
Trendline                       43917       76544       199/202    
diger                           57396       51424       16/16      
Chrome Edition                  52656       38405       16/16      
Comfortline                     54801       51248       238/238    
benzin-lpg,benzin               49148       41196       145/146    
dizel                           50552       71182       335/338    
otomatik,yari-otomatik          57755       53165       144/144    
manuel                          46927       66492       336/340    

polo - 2015
Trendline                       49848       41476       101/101    
Lounge                          59847       20530       39/39      
diger                           61663       34009       19/19      
Comfortline                     59246       35943       222/222    
benzin-lpg,benzin               53834       28109       167/167    
dizel                           59357       42571       214/214    
otomatik,yari-otomatik          63296       35330       157/157    
manuel                          52479       36206       224/224    

polo - 2016
Trendline                       53443       18728       90/90      
Lounge                          64958       9727        31/31      
Allstar                         64698       7286        33/33      
